hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
31e788a12ddc8b43ec20e77d53abaa23,3992.56,4003.57,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2293.15,10000.0,10000.0,sat,,,scheduling,main_2024 | submissions_2024,9299.377
32585e66749f42e161e94fc49fd64750,139.372,139.6,1273.95,746.375,671.183,992.201,216.68,293.537,274.107,548.612,482.467,1094.18,2211.36,235.36,unsat,,,scheduling,main_2024 | submissions_2024,706.006
334aa882de28856fc8c75885285d2a3c,10000.0,10000.0,1843.32,1693.41,1025.79,10000.0,2418.04,2677.12,1657.37,1372.86,1088.93,2129.78,1656.17,2189.61,sat,,,hamiltonian-cycle,anni_2022 | main_2021 | main_2024 | main_2025,2537.189
34fa0922e66aee3b6f6ffe1760f459d4,576.832,545.273,487.745,123.518,148.284,1561.55,145.547,146.394,221.747,142.58,202.505,286.485,337.919,603.884,unsat,,,hardware-verification,anni_2022 | application_2012 | main_2024,356.401
35789168b67a74985804902008251269,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,tseitin-formulas,anni_2022 | crafted_2016 | main_2024,10000.000
3593875d75d6e836a3ac328c5426c1b5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,scheduling,main_2024 | submissions_2022,10000.000
36dbc206c7d9773bebb03f752070cee9,10000.0,10000.0,332.914,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,tseitin-formulas,main_2024 | submissions_2024,10000.000
37a11ae189df2834a3f294736f34608f,2758.13,2750.41,2568.45,1846.14,2651.6,10000.0,3804.69,3900.89,4402.53,1742.31,2927.74,1921.91,10000.0,2155.53,unsat,,,minimum-disagreement-parity,main_2024 | submissions_2022,4123.031
37ca184832fc6fa43a22ae900f1756a2,474.084,495.53,261.384,837.88,865.734,10000.0,558.537,591.083,380.594,378.928,466.037,544.694,310.357,94.4718,sat,,,random-circuits,main_2024 | submissions_2024,1366.211
385042a6042a0df5ddfec6e17f285ae7,1394.95,1589.6,2582.3,1491.17,1521.6,10000.0,2469.4,2999.75,2556.54,1857.22,2110.28,2945.15,3621.94,903.754,unsat,,,miter,main_2024 | submissions_2024,2952.437
